Id,community,label
ACCESO CARNAL VIOLENTO,0,ACCESO CARNAL VIOLENTO
ABORTO SIN CONSENTIMIENTO,0,ABORTO SIN CONSENTIMIENTO
ACCESO CARNAL ABUSIVO CON MENOR DE CATORCE AÑOS,0,ACCESO CARNAL ABUSIVO CON MENOR DE CATORCE AÑOS
ACCESO CARNAL O ACTO SEXUAL EN PERSONA PUESTA EN INCAPACIDAD DE RESISTIR,0,ACCESO CARNAL O ACTO SEXUAL EN PERSONA PUESTA EN INCAPACIDAD DE RESISTIR
ACCESO CARNAL VIOLENTO CONTRA MENOR DE EDAD  (NOTA:SOLO PARA JURISDICCION INDIGENA),0,ACCESO CARNAL VIOLENTO CONTRA MENOR DE EDAD  (NOTA:SOLO PARA JURISDICCION INDIGENA)
ACTO SEXUAL VIOLENTO,0,ACTO SEXUAL VIOLENTO
ACCESO CARNAL O ACTO SEXUAL ABUSIVOS CON INCAPAZ DE RESISTIR,0,ACCESO CARNAL O ACTO SEXUAL ABUSIVOS CON INCAPAZ DE RESISTIR
ACTOS SEXUALES CON MENOR DE CATORCE AÑOS,0,ACTOS SEXUALES CON MENOR DE CATORCE AÑOS
ALTERACION DESFIGURACION Y SUPLANTACION DE MARCAS DE GANADO,1,ALTERACION DESFIGURACION Y SUPLANTACION DE MARCAS DE GANADO
ABIGEATO,1,ABIGEATO
AMENAZAS,2,AMENAZAS
ACCESO ABUSIVO A UN SISTEMA INFORMATICO,3,ACCESO ABUSIVO A UN SISTEMA INFORMATICO
ACOSO SEXUAL,2,ACOSO SEXUAL
APODERAMIENTO O ALTERACIÓN DE SISTEMAS DE IDENTIFICACIÓN,4,APODERAMIENTO O ALTERACIÓN DE SISTEMAS DE IDENTIFICACIÓN
"APODERAMIENTO DE HIDROCARBUROS, SUS DERIVADOS, BIOCOMBUSTIBLES O MEZCLAS QUE LOS CONTENGAN",4,"APODERAMIENTO DE HIDROCARBUROS, SUS DERIVADOS, BIOCOMBUSTIBLES O MEZCLAS QUE LOS CONTENGAN"
COHECHO POR DAR U OFRECER,5,COHECHO POR DAR U OFRECER
ADMINISTRACION DE RECURSOS RELACIONADOS CON ACTIVIDADES TERRORISTAS,5,ADMINISTRACION DE RECURSOS RELACIONADOS CON ACTIVIDADES TERRORISTAS
COHECHO PROPIO,1,COHECHO PROPIO
COHECHO IMPROPIO,1,COHECHO IMPROPIO
CONCIERTO PARA DELINQUIR,2,CONCIERTO PARA DELINQUIR
CONCUSION,1,CONCUSION
ABUSO DE FUNCION PUBLICA,1,ABUSO DE FUNCION PUBLICA
CONSTREÑIMIENTO A LA PROSTITUCION,0,CONSTREÑIMIENTO A LA PROSTITUCION
CONSTREÑIMIENTO AL SUFRAGANTE O AL ELECTOR,2,CONSTREÑIMIENTO AL SUFRAGANTE O AL ELECTOR
CONSTREÑIMIENTO ILEGAL,2,CONSTREÑIMIENTO ILEGAL
CONSTREÑIMIENTO PARA DELINQUIR,2,CONSTREÑIMIENTO PARA DELINQUIR
