descriptio,gx_media_l,name,DPTO,NOMBRE_DPT,AREA,PERIMETER,HECTARES
"<img src=""https://lh5.googleusercontent.com/5-A_Yk0EQsxNZBMXJVpdYi5OwI0mKhNEmpb4NvKFqKd6CRq2gs9BGDa0IkYEcTMvAgt0iN_LeqPHfBkz7kNM2HqH3Nf5J_F5607f9s2P94YE-1GqXa0vUZFY4TGrHOQ"" height=""200"" width=""auto"" /><br><br>Direcci?n: Carrera 18 # 20-54 La Ceja<br>Tel:",https://lh5.googleusercontent.com/5-A_Yk0EQsxNZBMXJVpdYi5OwI0mKhNEmpb4NvKFqKd6CRq2gs9BGDa0IkYEcTMvAgt0iN_LeqPHfBkz7kNM2HqH3Nf5J_F5607f9s2P94YE-1GqXa0vUZFY4TGrHOQ,514 EPMSC La Ceja,"05",ANTIOQUIA,63351855546.895,1963728.843,6335185.555
"<img src=""https://lh4.googleusercontent.com/_HBM_-_O2tjCa4ai5gz4yR2fiPigPVTCTcR7GUQdizracB1Rq57NvuYxwfYnnNzWL-R6_SuRw-K2gH6niRSjxX1MnEylWHZogPyFUWjE70UGSj_jME7w3HA9JSZNKsJJ"" height=""200"" width=""auto"" /><br><br>Direcci?n: Calle 53 # 49-30 Edf Bancoquia Pi",https://lh4.googleusercontent.com/_HBM_-_O2tjCa4ai5gz4yR2fiPigPVTCTcR7GUQdizracB1Rq57NvuYxwfYnnNzWL-R6_SuRw-K2gH6niRSjxX1MnEylWHZogPyFUWjE70UGSj_jME7w3HA9JSZNKsJJ,500 Regional Noroeste,"05",ANTIOQUIA,63351855546.895,1963728.843,6335185.555
"<img src=""https://lh5.googleusercontent.com/t4MZPBSGixbwQbB9WjxdZurSfq7kalX8gKbByvKpTpC2swS9XoKgS9sBMbXK7pSR8msyj4cOTSR3EinXKGLWVEf0OzD6rQTCi26XKjVnpY3gvyutSI4-LHHZdUfKoBgzFg"" height=""200"" width=""auto"" /><br><br>Direcci?n: Carrera 70 # 23-10 San Francisc",https://lh5.googleusercontent.com/t4MZPBSGixbwQbB9WjxdZurSfq7kalX8gKbByvKpTpC2swS9XoKgS9sBMbXK7pSR8msyj4cOTSR3EinXKGLWVEf0OzD6rQTCi26XKjVnpY3gvyutSI4-LHHZdUfKoBgzFg https://lh3.googleusercontent.com/wc72exAcURZeqJbGnB6Irv1Nwimvc21SmdrkzXu6y-94a-ZwYgy2Hsa,501 EPC La Paz,"05",ANTIOQUIA,63351855546.895,1963728.843,6335185.555
"<img src=""https://lh4.googleusercontent.com/jWwEdxH7MUSgKr6f5OTZWuubeJ_jdxw-DWQBBJ6II2djD6IHrcw7uutJFVY7JJ_SrKxDEgAamTxwCIfPPNyObITQZ3yeYTKR1t92jDEx3ZV2RPZzy4k9Fnn2NfjmgKTf"" height=""200"" width=""auto"" /><br><br>Direcci?n: Diagonal 44 #39-145 Machado Bello",https://lh4.googleusercontent.com/jWwEdxH7MUSgKr6f5OTZWuubeJ_jdxw-DWQBBJ6II2djD6IHrcw7uutJFVY7JJ_SrKxDEgAamTxwCIfPPNyObITQZ3yeYTKR1t92jDEx3ZV2RPZzy4k9Fnn2NfjmgKTf,502 EPMSC Medellin,"05",ANTIOQUIA,63351855546.895,1963728.843,6335185.555
"<img src=""https://lh3.googleusercontent.com/K4PqBm7GFBGs13DAuinvMJFnb1GKShGJzBJ_RwBnhylg5-CQcpj2QFDBLwtXMHS7Ysf-g74_bkjV71GvQoUlEBG1_u9yn_vN4xuz1z7qd4cD1RXfGug5C7XYkBuLLc1Z"" height=""200"" width=""auto"" /><br><br>Direcci?n: Calle 49 Nro. 55 - 154 Barrios Sa",https://lh3.googleusercontent.com/K4PqBm7GFBGs13DAuinvMJFnb1GKShGJzBJ_RwBnhylg5-CQcpj2QFDBLwtXMHS7Ysf-g74_bkjV71GvQoUlEBG1_u9yn_vN4xuz1z7qd4cD1RXfGug5C7XYkBuLLc1Z,505 EPMSC Andes,"05",ANTIOQUIA,63351855546.895,1963728.843,6335185.555
"<img src=""https://lh3.googleusercontent.com/wInwfTgO0R81pwdOctFPj1H0tvzf5UK8gcHrpP20V1vqIXVlQuHnzd5vRUu6FNwlR77nP_Bc2qr0Ne4r8w6LOR7eKSXGFMVAKJiDmAE4SrzjTTAhlNwQz9Xw4a7Vz3-k"" height=""200"" width=""auto"" /><br><br>Direcci?n: Cra 6 # 9-57 B\ jesus		<br>Tel: (",https://lh3.googleusercontent.com/wInwfTgO0R81pwdOctFPj1H0tvzf5UK8gcHrpP20V1vqIXVlQuHnzd5vRUu6FNwlR77nP_Bc2qr0Ne4r8w6LOR7eKSXGFMVAKJiDmAE4SrzjTTAhlNwQz9Xw4a7Vz3-k,506 EC Santa Fe de Antioquia,"05",ANTIOQUIA,63351855546.895,1963728.843,6335185.555
"<img src=""https://lh4.googleusercontent.com/NXXPIRY5aCHqr_2rIbqlWzIJg9BuRXrFhFncMuuqqYDWDnbKXpqpyQIGqoLP-7L84d8e7MDyYyClQc_PFR7ZZLslQj7OBk_r6zdTBKyzOiqvTQwtHMfBE5yQo2DZ81re"" height=""200"" width=""auto"" /><br><br>Direcci?n: Calle 49 # 37-61 Bolivar - Ant.io",https://lh4.googleusercontent.com/NXXPIRY5aCHqr_2rIbqlWzIJg9BuRXrFhFncMuuqqYDWDnbKXpqpyQIGqoLP-7L84d8e7MDyYyClQc_PFR7ZZLslQj7OBk_r6zdTBKyzOiqvTQwtHMfBE5yQo2DZ81re,507 EPMSC Bolivar,"05",ANTIOQUIA,63351855546.895,1963728.843,6335185.555
"<img src=""https://lh3.googleusercontent.com/JqC-clOetYqiVP86iW0EOTUP1ooyXlaDBvn5IeQojxmZ5yglZIFbW24bi2yqL-H6NEM6sOAMmxot3E6uS5YmXoXxlFA_9dVjOkq9fxne4QSqgWpEU7BcjsCjF1cLzbuovQ"" height=""200"" width=""auto"" /><br><br>Direcci?n: Carrera 17 # 8-65 Barrio Pueblo",https://lh3.googleusercontent.com/JqC-clOetYqiVP86iW0EOTUP1ooyXlaDBvn5IeQojxmZ5yglZIFbW24bi2yqL-H6NEM6sOAMmxot3E6uS5YmXoXxlFA_9dVjOkq9fxne4QSqgWpEU7BcjsCjF1cLzbuovQ https://lh5.googleusercontent.com/X-iYYWkZ92ETnbJC1TwYknpA0MLkj2BXh6lkGVJqYPRIT9Z7yIg8BMc,508 EPMSC Caucasia,"05",ANTIOQUIA,63351855546.895,1963728.843,6335185.555
"<img src=""https://lh5.googleusercontent.com/_XQhXIde2ETOkCaBbzGV-5IL__GQHhMtVZj6VnsdAeq5rOWxv05UmWVPQGTtlzhUVNQ_2rwZ4d1XAQzghPqXtgpsbr2rFUn2XqDWLf4-BxghylQVYgdqY57t3oWnKWw"" height=""200"" width=""auto"" /><br><br>Direcci?n: Carrera 6 # 4-29 Barrio Las Quebra",https://lh5.googleusercontent.com/_XQhXIde2ETOkCaBbzGV-5IL__GQHhMtVZj6VnsdAeq5rOWxv05UmWVPQGTtlzhUVNQ_2rwZ4d1XAQzghPqXtgpsbr2rFUn2XqDWLf4-BxghylQVYgdqY57t3oWnKWw,513 EPMSC Jerico,"05",ANTIOQUIA,63351855546.895,1963728.843,6335185.555
"<img src=""https://lh3.googleusercontent.com/KrFbsFAOwB83sZUJJi0zhPsEq8oCZiAqASVIt6nck3LAfGKyozgi_Wjrq5i5BJC0QeOmQxJMQB6iu4fvH6w0nTn1metNrv0WGSoMre0A81Pl--0RqTBfoWorKgW5BoVT"" height=""200"" width=""auto"" /><br><br>Direcci?n: Calle Sucre #51-26 Santa Barbara",https://lh3.googleusercontent.com/KrFbsFAOwB83sZUJJi0zhPsEq8oCZiAqASVIt6nck3LAfGKyozgi_Wjrq5i5BJC0QeOmQxJMQB6iu4fvH6w0nTn1metNrv0WGSoMre0A81Pl--0RqTBfoWorKgW5BoVT,517 EPMSC Santa Barbara,"05",ANTIOQUIA,63351855546.895,1963728.843,6335185.555
