source,target,similarity
ACTOS SEXUALES CON MENOR DE CATORCE AÑOS,ACCESO CARNAL ABUSIVO CON MENOR DE CATORCE AÑOS,0.05107780832562325
ALTERACION DESFIGURACION Y SUPLANTACION DE MARCAS DE GANADO,ABIGEATO,0.381584674108311
COHECHO PROPIO,COHECHO IMPROPIO,0.010265880011390283
CONCUSION,ABUSO DE FUNCION PUBLICA,0.08753804759997275
CONTAMINACION AMBIENTAL,"APODERAMIENTO DE HIDROCARBUROS, SUS DERIVADOS, BIOCOMBUSTIBLES O MEZCLAS QUE LOS CONTENGAN",0.09208727091365809
DAÑOS EN LOS RECURSOS NATURALES,CONTAMINACION AMBIENTAL,0.025572137759462654
DAÑOS EN LOS RECURSOS NATURALES,CONTAMINACION AMBIENTAL CULPOSA POR EXPLOTACION DE YACIMIENTO MINERO O HIDROCARBURO,0.15313634484027283
DAÑOS EN LOS RECURSOS NATURALES,CONTAMINACION AMBIENTAL POR EXPLOTACION DE YACIMIENTO MINERO O HIDROCARBURO,0.6935781456087291
DESPLAZAMIENTO FORZADO,CONCIERTO PARA DELINQUIR,0.0638310631008644
DESTRUCCION SUPRESION Y OCULTAMIENTO DE DOCUMENTO PRIVADO,DAÑO INFORMATICO,0.27938989000583936
EJERCICIO ILICITO DE ACTIVIDAD MONOPOLISTICA DE ARBITRIO RENTISTICO,CIRCULACION Y USO DE EFECTO OFICIAL O SELLO FALSIFICADO,0.034592519158277324
EMPLEO O LANZAMIENTO DE SUSTANCIAS U OBJETOS PELIGROSOS,CALUMNIA,0.6122599729763454
ENAJENACIÓN ILEGAL DE MEDICAMENTOS,CORRUPCION DE ALIMENTOS PRODUCTOS MEDICOS O MATERIAL PROFILACTICO,0.3355487850673472
ENRIQUECIMIENTO ILICITO,CAPTACION MASIVA Y HABITUAL DE DINEROS,0.11205544420020097
ENRIQUECIMIENTO ILICITO DE PARTICULARES,CAPTACION MASIVA Y HABITUAL DE DINEROS,0.027696414766604782
ESTIMULO AL USO ILICITO,CORRUPCION DE ALIMENTOS PRODUCTOS MEDICOS O MATERIAL PROFILACTICO,0.3692221216466436
EXPLOTACION ILICITA DE YACIMIENTO MINERO Y OTROS MATERIALES,DAÑOS EN LOS RECURSOS NATURALES,0.44527416516218254
"FABRICACIÓN, TRÁFICO Y PORTE DE ARMAS, MUNICIONES DE USO RESTRINGIDO, DE USO PRIVATIVO DE LAS FUERZAS ARMADAS O EXPLOSIVOS","FABRICACIÓN, TRµFICO Y PORTE DE ARMAS, MUNICIONES DE USO RESTRINGIDO, DE USO PRIVATIVO DE LAS FUERZAS ARMADAS O EXPLOSIVOS",0.02476740840761915
"FABRICACIÓN, TRÁFICO, PORTE O TENENCIA DE ARMAS DE FUEGO, ACCESORIOS, PARTES O MUNICIONES","FABRICACIÓN, TRµFICO, PORTE O TENENCIA DE ARMAS DE FUEGO, ACCESORIOS, PARTES O MUNICIONES",0.0546461519188739
FALSEDAD EN DOCUMENTO PRIVADO,ESTAFA,0.3356758762064833
FALSEDAD IDEOLOGICA EN DOCUMENTO PUBLICO,ABUSO DE FUNCION PUBLICA,0.06509293217709677
FALSEDAD IDEOLOGICA EN DOCUMENTO PUBLICO,CONTRATO SIN CUMPLIMIENTO DE REQUISITOS LEGALES,0.15169993984187813
FALSEDAD MATERIAL EN DOCUMENTO PUBLICO,ESTAFA,0.17604832779873614
FALSEDAD MATERIAL EN DOCUMENTO PUBLICO,FALSEDAD EN DOCUMENTO PRIVADO,0.2741250645670352
FALSEDAD PERSONAL,ESTAFA,0.05636015183306142
FALSIFICACION DE EFECTO OFICIAL TIMBRADO,EJERCICIO ILICITO DE ACTIVIDAD MONOPOLISTICA DE ARBITRIO RENTISTICO,0.08185122484518859
FALSO TESTIMONIO,EMPLEO ILEGAL DE LA FUERZA PUBLICA,0.1075961401366885
FINANCIACIÓN DEL TERRORISMO Y DE ACTIVIDADES DE DELINCUENCIA ORGANIZADA Y ADMINISTRACIÓN DE RECURSOS CON ACTIVIDADES TERRORISTAS Y DE DELINCUENCIA ORGANIZADA,ADMINISTRACION DE RECURSOS RELACIONADOS CON ACTIVIDADES TERRORISTAS,0.07369597493566649
