ID,527 EPMSC Yarumal,531 EPMSC Apartado,9006 EJEPO Batallon De Policia Militar No. 13,9011 EJART Batallon De Artilleria No. 13,114 EC Bogota,129 RM Bogota,100 Regional Central,113 COMEB,322 EPMSC Barranquilla,9021 EJEMA BIVER Malambo,629 EPMSC Libano,639 COIBA Ibague,623 EC Armero Guayabal,626 EPMSC Fresno,158 EPMSC El Guamo,145 EPMSC Espinal,144 EPMSC Chaparral,147 EPMSC Purificacion,238 EPMSC Cartago,239 EPMSC Caicedonia,228 EPMSC Buenaventura,233 EPMSC Tulua,226 EPMSC Cali,227 EPMSC Buga,200 Regional Occidente,225 EPAMSCAS Palmira,9018 EJEYO BAS16 Yopal,224 EPMSC Mocoa,152 EPMSC Paz de Ariporo,153 EC Yopal,242 COJAM Jamundi,9004 POVAL Cali - Valle,240 EPMSC Roldanillo,241 EPMSC Sevilla,401 EPMSC Arauca,318 EPMSC San Andres,101 EPMSC Leticia,221 EPMSC Tuquerres,222 EPMSC Tumaco,217 EPMSC Ipiales,219 EPMSC La Union,9020 EJAPI BAS07 Apiay - Meta,215 EPMSC Pasto,133 EPMSC Granada,148 EPMSC Acacias,600 Regional Viejo Caldas,616 EPMSC Pereira,613 EPMSC Armenia,615 RM Armenia,422 COCUC Cucuta,612 EPMSC Calarca,407 EPMSC Pamplona,408 EPMSC Oca?a,415 EPMS San Gil,416 EPMSC Socorro,411 EPMSC Barrancabermeja,413 EPMSC Malaga,400 Regional Oriente,410 EPMSC Bucaramanga,617 EPMSC Santa Rosa De Cabal,620 RM Pereira,320 ERE Corozal,136 EPMSC Melgar,515 EPMSC Puerto Berrio,319 EPMSC Sincelejo,420 RM Bucaramanga,421 EPAMS Giron,417 EPMSC San Vicente De Chucuri,418 EPMSC Velez,119 EPMSC Fusagasuga,120 EPMSC Gacheta,116 EPMSC Caqueza,117 EPMSC Choconta,308 EPMSC Monteria,324 EPMSC Tierralta,405 EPMSC Aguachica,9019 EJUPA BAS10 Valledupar,628 EPMSC Honda,637 EPAMS La Dorada,138 EPMSC Girardot,156 EP Guaduas La Esperanza,127 EPMSC Villeta,128 EPMSC Zipaquira,124 EPMSC La Mesa,126 EPMSC Ubate,140 EPMSC Garzon,141 EPMSC La Plata,533 EPMSC Itsmina,139 EPMSC Neiva,9016 EJECO BACOM01 Facatativa,530 EPMSC Quibdo,8400 Escuela De Formaci?n,9001 POFAC Facatativa,130 CAMIS Acacias,131 EPMSC Villavicencio,314 EPMSC Santa Marta,316 EPMSC El Banco,300 Regional Norte,301 EC Barranquilla,142 EPMSC Pitalito,313 EPMSC Riohacha,107 EPMSC Guateque,109 EPMSC Moniquira,105 EPMSC Duitama,106 EPMS Garagoa,103 EPMSC Santa Rosa de Viterbo,104 EPMSC Chiquinquira,305 EPMSC Magangue,303 EPMSC Cartagena,602 EPMSC Anserma,603 EPMSC Aguadas,608 EPMSC Pensilvania,601 EPMSC Manizales,149 EPMSC Tunja,150 EPAMSCAS Combita,110 EPMS Ramiriqui,112 EPMSC Sogamoso,202 EPMSC Bolivar,203 EPMSC Caloto,143 EPMSC Florencia,157 EP Florencia Las Heliconias,610 EPMSC Salamina,611 RM Manizales,607 EPMSC Pacora,609 EPMSC Riosucio,307 EPMSC Valledupar,323 EPAMSCAS Valledupar,209 RM Popayan,235 EPAMSCAS Popayan,207 EPMSC Santander de Quilichao,208 EPMSC Silvia,204 EPMSC El Bordo,206 EPMSC Puerto Tejada,506 EC Santa Fe de Antioquia,507 EPMSC Bolivar,502 EPMSC Medellin,505 EPMSC Andes,500 Regional Noroeste,501 EPC La Paz,514 EPMSC La Ceja,523 EPMSC Tamesis,524 EPMSC Titiribi,519 EPMSC Santa Rosa De Osos,521 EPMSC Sonson,517 EPMSC Santa Barbara,518 EPMSC Santo Domingo,508 EPMSC Caucasia,513 EPMSC Jerico,9017 EJEBE BIOSP Bello,302 EC Sabanalarga,633 EPMSC Puerto Boyaca,9003 POMED Aures Medellin,535 EP Puerto Triunfo,537 COPED Pedregal
514 EPMSC La Ceja,102995.158349889,238164.571313721,213406.245916695,218860.875009404,212925.784373162,211819.51957731,217788.914900316,219214.055465961,548457.760897919,541310.056624871,128839.999711192,182621.724163226,126014.735587119,106525.14078074,226921.846533835,217213.443039037,255396.131686366,246497.629255091,152336.898520612,192376.472865962,295535.717709651,230301.27120833,311456.086702518,252293.268724843,309079.542732127,294135.748669229,324533.778547836,555799.107809732,392023.366102808,339654.705100784,329198.282982654,308997.645567284,196307.401598708,202190.809920147,529095.376620212,999329.255532147,1286112.69550077,598667.903570977,605212.925156802,624006.097838691,525087.462052778,298190.086199589,569651.605579159,335221.031759085,288327.378377401,137689.324914515,137986.951817425,169515.184764238,169444.811650819,387305.619512678,169214.144590353,340545.827287321,334663.039414509,259138.724121027,247933.622660343,206434.490170183,307299.760545553,283255.038547034,280792.385958073,130547.915138959,136723.809028201,363719.730418001,219987.262292471,124201.715310254,363705.680230407,277016.350494432,274026.160986695,241519.142277993,194742.490170552,220949.945276805,239750.429116482,243644.264175995,216606.446787828,304490.145580983,235391.220742369,320679.891745764,544514.352482759,117489.226297709,102856.131237888,202360.233627271,126124.659810567,155004.374803494,193291.395554737,188060.981103592,195913.493104693,424974.829269451,405073.457620242,168765.476561025,357843.161299125,179942.967067229,141054.738307659,198453.765855227,183244.529561762,289481.944216596,289010.396438076,591405.8019819,366135.203272047,554156.048389215,553934.493474675,467719.729171049,669766.638387188,244591.774874548,205503.808395268,265546.151980694,251763.19622296,272823.313734726,183321.647711518,364816.378744243,481188.620142605,97470.0359011094,46044.5277614704,78018.0764518933,108411.092824343,236701.480627439,242443.874500568,242352.939207923,278735.498181141,494783.113666017,348580.111288485,486421.396417874,493954.44532508,70585.6304032476,108413.73780226,56873.9646546208,74126.894560393,545628.376475572,541385.815611917,418808.579522744,412813.03480739,353383.938628324,392860.264500242,466761.740319382,328642.142137587,72622.7543466768,67392.402327391,35411.1663898248,65142.0477891986,28719.963823901,28320.9992494775,0,51470.2161473432,40454.0611696182,68227.668875708,37514.3724033879,22789.7393274762,56918.887123204,216998.91766894,47395.1711564271,36637.7819381071,512428.502615323,92653.0701083797,34483.7337690128,79148.8511908105,35513.2989770884
500 Regional Noroeste,80236.9273418075,209482.458191113,241586.431928699,247206.379246374,241104.894020304,239829.699520299,245963.016469297,247551.092345439,526339.901428433,519429.962831898,156910.981317562,209526.86823869,154695.643946683,135041.994587495,254298.21069617,245023.275925427,279965.313437178,273868.358671919,171440.598001923,213563.420788621,307339.852020155,248554.674473605,328989.740759406,270121.129176086,326414.472564027,312968.802384821,346363.317518873,576134.668777879,408760.494754044,360743.081090757,347232.465335107,326362.814969713,213729.705672936,222508.465270349,539015.981171363,971213.485257534,1314786.41803656,615307.927476039,615790.347269588,640993.332616297,542901.355174175,326314.811643464,587448.605782388,363901.904815598,316815.917961968,159592.113900979,159614.311878479,191942.091407213,191860.1559669,387611.774426536,192077.307530996,344645.60988292,328255.182739271,269709.983952117,258944.040478639,207503.437657558,317189.567592075,287955.85050214,285424.201984284,153332.382100377,158569.672218015,340312.377016309,248438.127729421,131085.370778137,339770.701807782,281649.791276753,280029.957190825,247493.687376929,211373.77873862,249668.137720693,266181.536429303,271906.366796199,241562.292004465,278178.780897816,207325.130041746,312026.934715369,529590.899391657,145905.489714479,129920.898929382,230578.05856656,154555.020568503,183226.790328086,219974.704327889,216746.048372189,220247.442461327,448834.506724405,427823.715118989,172534.475136867,383097.209221394,208263.764552479,135835.365200897,226616.600689348,211574.420768859,317962.382089083,317142.578693273,571408.588044785,351560.986047491,532097.78029576,531936.156185215,489950.510577726,654088.058787626,269667.294807279,223580.204400987,283578.992763813,276105.452611029,290179.402568525,205246.372456869,344228.643215769,456875.245321227,116064.704278195,71395.1769294395,106457.081853181,132390.688649876,257762.720595084,262175.404954712,264493.469623502,297666.967094037,512970.921776838,367721.997725225,510468.128297205,517896.078097738,95084.7680820892,132423.494828971,82060.1670402949,93329.4780225501,530789.712600875,526357.794413734,437846.295175406,432115.294711018,372017.637510935,412854.291185258,484372.931684731,347328.602721683,44112.5821978059,66535.5174321125,8913.19327905758,74780.2555274481,0,12416.1138315608,28719.9638239011,67217.5000809799,32682.4136440157,45066.9668419044,65936.035218306,41504.4733273307,50695.1291897427,195304.892764621,56353.6220636617,10678.1761934292,490121.225567085,111797.939343272,5788.62366352098,100575.194580914,7656.38736175599
501 EPC La Paz,90986.7634673669,212249.212254784,241057.140346394,246293.411281801,240578.202409144,239635.320563657,245443.529250185,246659.122411826,536555.661820299,529738.9106888,151998.804466531,202953.080499983,151518.631210507,131227.841544794,248140.6754341,239452.603187549,271488.027652149,267673.36871055,160927.780192837,203628.314181858,295223.875968345,237631.885407152,317805.874721621,259062.263677413,315186.373371778,302129.061765754,351712.553683697,565611.827453049,416576.307593779,366512.565711632,336156.678244717,315141.701953786,202654.177627253,212245.413418768,549108.366330545,971816.216937464,1311089.01732554,603825.253557979,603513.108195066,629577.476814803,531690.127691241,325857.525732632,576222.773232867,361632.401430446,315452.399736558,150116.452879789,150026.279693454,182567.192319954,182480.45497279,399495.99695707,182898.387641512,355942.526273477,340643.574677547,279491.332300381,268591.034452842,219178.872832153,327195.990058547,299108.179673243,296587.534447817,144273.246786229,149075.231645079,350068.512457605,244110.319076519,141501.969019167,349267.747303355,292809.90294878,290919.274412387,258357.927024026,219072.37146244,247008.370273873,268068.985647905,271177.553546941,244773.199187175,286180.279208068,213329.086873185,324442.217564949,541558.282255711,144942.000823555,131145.374345749,225730.703716862,153534.582143784,182661.647152868,221598.790855328,214565.953131016,223921.753662808,439812.345546843,418276.975342202,160127.04384672,374941.610665335,207446.517391702,124155.681903383,226134.462403658,210731.641237166,316624.310251731,316673.537366394,582325.225555078,363613.694050544,542334.857864482,542196.326214334,480150.065066384,665928.371401662,272789.605375999,230702.380634158,290782.497024446,279796.937771292,297674.81188202,210449.035861188,355057.473991617,466100.038350196,105694.174166528,64807.2483572566,102617.417254496,124060.94567131,263490.408418082,268583.429109582,269621.709184529,304480.226974888,501858.325428479,356926.690831161,501516.461323597,508885.151004745,87449.2783317904,124109.996747559,75090.3588921015,83400.6412536738,542768.285230366,538311.440619707,426984.000867341,421330.14715611,361080.078057336,402285.814362024,473131.419341288,336421.461673969,46950.46003618,54150.4599170287,20681.422780973,62940.6376574479,12416.1138315608,0,28320.9992494774,56789.7457375211,20395.0710805415,56192.7134813471,62658.5517703447,33681.6710783686,62652.3850405679,205938.791210228,44748.809951795,22470.5868410269,500274.528840199,118150.819363455,14457.4676553765,105778.492963832,12608.2652238901
502 EPMSC Medellin,71342.0188429401,203874.806978268,246506.618523441,252344.987540704,246024.141663547,244551.926907802,250872.023296178,252677.090892683,517481.507738192,510559.071870058,164215.774906423,217446.424525709,161202.710543304,141901.945700547,262029.86421112,252518.438429514,288487.858300387,281605.647865374,180346.910004015,222410.473203099,315902.730326804,257466.527255763,337887.253497255,279027.501228418,335307.424271437,321881.985792967,347116.857179912,585035.710698951,407364.684988092,361147.365166906,356138.582253198,335256.524982904,222634.053926475,231393.742632733,535270.336983723,966634.904095986,1321243.85288104,624163.316688643,624161.663936191,649861.878015726,551797.757256243,331113.061720495,596343.691479709,369718.519712114,322152.344030497,168374.981243064,168416.647051271,200698.008039464,200617.027625477,381452.273360659,200793.159129966,339438.792000355,320783.465089934,266431.922065903,255824.365270188,201789.69014898,313622.918065233,282980.136728735,280434.606998788,162035.446688288,167356.166284092,331541.993649432,255374.91357272,127305.714611494,331059.364302163,276666.93566467,275414.649663804,242935.916005876,210272.48465964,255771.800723153,269545.446770718,276910.981534982,244042.435405378,269943.199094887,199985.086052877,304188.677389202,520913.060088403,151267.698642744,134036.945493952,237767.945838483,159923.272878813,188263.13840199,223579.36875689,222631.651309174,222427.522011862,457483.068998853,436590.759088557,180249.963202532,391509.314325501,213400.256638047,141993.92190055,231528.751069004,216720.4122744,323283.443634574,321954.451609803,562495.396038984,342942.033976928,523236.307526013,523071.519270689,498762.607099138,645341.89034015,272173.093759903,222980.677340047,282827.458547463,278192.235844499,289158.758363148,206292.156405145,335317.064528046,448225.069593606,124967.153286422,79567.7356780953,113423.756587301,140933.114513795,258298.670793648,262139.734955064,265501.671640472,297244.380016554,521875.543017516,376634.969206724,519095.765636789,526538.394850982,103489.389149163,140961.670474382,90305.9055494673,102200.526349614,522118.992072836,517671.464995634,446759.463372398,441028.048306447,380929.702127883,421759.246622159,493265.814888048,356241.210936965,39794.8466559531,74217.2290202796,0,83498.9812224019,8913.19327905753,20681.422780973,35411.1663898249,76129.0634168714,40292.7830050706,36155.3051574184,72925.1323515264,50159.9590850429,44979.3553252231,186407.109260022,65143.6106677733,1795.76733149444,481272.642583216,112251.214929528,7105.22693413226,102062.314734369,10442.836807784
505 EPMSC Andes,153483.698204788,252633.311423739,227214.728494873,230300.702080915,226768.685132265,227547.547990054,231473.695181716,230758.258394615,597547.354963336,590923.841779483,121167.228281554,160250.876252423,129958.826908314,108759.898813652,206031.138574563,200430.755948621,218401.560086148,224925.774522444,101072.337958224,145431.899568848,232761.641309903,175970.801324453,255460.696098224,197032.734553876,252764.524165834,240540.544384938,365059.431363597,504547.332908717,442577.655771303,381863.046892331,274003.585524195,252732.013054788,140711.758100495,152741.452075091,587970.064273635,997389.93449409,1274889.11060422,541009.99046228,541745.790156245,566826.267285331,469219.193642907,309826.262059562,513721.852739831,335943.304155099,295128.232770664,95138.3827111169,94503.5707849078,127078.041737688,126971.886307979,452084.99935689,128285.263607619,404089.676138983,399368.615190262,318671.810953746,307166.051355209,271286.675495203,367086.836868154,346679.03694492,344257.763023653,91674.9251012948,94046.2506260028,410266.508099836,211064.527931124,187771.417072069,408886.806283543,340494.255439603,336807.614313907,304478.474327382,248166.993641619,222188.653085716,265486.489632254,255233.675824705,249777.570339733,342246.709266549,264393.448232582,384646.619561476,604369.514027594,135578.561274816,134421.292178611,190754.927111361,142931.997061932,171838.813751095,219543.705209848,193565.579220039,232150.671782932,383578.369485186,360281.176867501,104078.880318655,322290.783100074,193756.495631631,85982.505764937,213186.862754183,196730.937275667,296400.109838755,300791.37965612,644565.714768852,426307.450563323,603367.322698581,603276.162444798,421206.556185585,728840.609407628,276369.58068165,256382.097570637,315282.783253262,286093.77126199,323618.145529897,227047.891770418,417242.520475621,524859.152150551,48412.7773365442,47204.742379203,85359.3805957906,77059.140688326,280840.4601254,289367.234854893,283663.099012906,326580.727075563,439556.973681937,295370.056469312,445369.505498408,452512.910141496,52028.1700923677,77197.571661017,49147.0855879254,32656.2942363257,605566.336768597,601137.776757349,365211.492434817,359735.546005525,299194.253508277,341240.732237738,410626.481689948,274627.813811009,99777.1572879906,25490.9925978476,83498.9812224018,0,74780.2555274481,62940.6376574479,65142.0477891986,18690.1064970264,46322.7047796185,119052.444379233,63699.2939067256,42758.8541561036,120367.181707697,267989.202568086,18629.3404427848,85294.7240123003,561158.7624657,146899.22986834,77367.0033386979,131023.447407588,75116.9808238154
506 EC Santa Fe de Antioquia,63726.13542302,165652.153469815,285685.406931036,291318.754534087,285203.713553973,283888.369177133,290060.664550393,291663.626815163,498830.509251796,492412.812605006,198948.166794559,249349.963950463,198106.111722574,178024.988304479,294728.420902396,286275.820709504,315670.061325553,314228.84937849,200826.640144833,244931.540068651,323581.488164958,275174.096026074,353569.186959971,295809.408427884,350719.038267587,339662.220463338,385176.510346758,603820.409258803,441653.145116511,398732.82551624,372407.066913083,350713.492860077,239787.509705137,252500.940715879,562715.320551062,927166.01420107,1357947.23162291,636942.495892278,627883.828227199,663106.431584835,566646.075077375,370397.094205703,611014.771458246,407796.600879325,360905.864000044,192979.691658269,192640.969652865,225396.698771339,225300.060352876,398850.704682167,226136.546597303,361749.747810823,330010.250254632,296267.507370383,286194.667953499,223029.565056901,342307.259162114,306643.380884164,304058.456532877,188014.842407949,191907.3367498,311100.786767751,291043.760316122,157251.910526247,309421.058049923,300347.418805636,300588.573285411,268592.382514078,245722.127374864,293387.526079091,309339.247642117,316015.333427541,283628.293125625,242711.554402816,167230.473448035,310421.863220831,515359.623152817,190007.619002868,173679.572018471,272677.254925906,198655.047767279,227334.862359332,263364.05231562,260639.275682163,261874.932366566,482666.569537564,459907.030618448,180598.257017475,419460.911260154,252376.345053508,132691.057016646,270713.538519889,255686.937309815,362055.049267349,361227.21222335,547822.249045584,339315.676647935,504686.28721555,504643.078074707,520975.622080007,638037.463867903,311760.312703259,259279.199038697,318674.007282041,317551.987736997,324478.346396257,244866.06768458,320794.642808739,425120.364997725,146945.346883317,111567.322673106,149392.573507805,169082.629887816,296196.186612505,299233.517931847,303944.94631855,333640.228227692,537423.42045149,394435.328837233,544453.935056894,551687.307709227,133478.370079089,169152.02746152,121636.534229658,126293.448843416,516700.533539859,511959.921915115,463978.472492048,458692.04037632,397918.198900947,440617.241914922,508038.168464681,373496.815335803,0,80980.4084425715,39794.8466559532,99777.1572879906,44112.5821978058,46950.46003618,72622.7543466769,99471.074620239,54417.0171154382,41098.9024100017,109129.706963648,80300.9138139711,73771.4292063942,172068.864568868,84481.3085512993,39465.0129576658,462368.41217786,150551.487926469,38333.580226691,141289.474752921,37118.9222976077
507 EPMSC Bolivar,139718.891235125,227992.758517153,250287.476215068,253751.209953493,249833.455041785,250307.82293657,254589.368688488,254195.819877644,579775.049511235,573383.104751504,145981.742289485,185703.750224058,153573.50067923,132215.745996357,231460.300184297,225921.748378663,242260.723311535,250307.677710685,122709.604428012,167649.151332702,244081.089827527,194838.015129881,272658.603983224,215153.494759064,269784.981483393,259164.82334289,382373.721275966,523306.223847434,455963.88185661,398630.454104285,291553.632905694,269783.29742015,159430.075342171,174034.216368697,596285.698222236,972038.770698264,1300357.69910793,556153.728564167,550921.921943404,582256.609095948,485667.243084996,333542.253250888,530042.153473646,360892.413023396,319416.991308178,119272.007748055,118473.010174139,150693.759343773,150581.638314887,452589.394350191,152182.931347772,407359.368526706,394790.193967088,326356.672000563,315085.114818263,271877.52466359,374582.899482748,350183.843187349,347701.240001137,116436.745608823,118178.667260306,391947.106691637,236390.70402623,191309.954911617,390074.218465724,343921.944754338,341220.770308962,308681.704145041,259682.314921748,246835.584375274,286505.700221051,278776.356611833,268881.030322306,321408.761305457,241930.312270828,378405.720533507,592799.611223815,156910.262511919,152617.263641675,216148.373900659,164649.43701647,193952.632340264,240170.605784332,217605.471835544,250274.701874519,405912.386230152,381746.502553734,106040.730603984,346014.278287185,216604.002727364,73759.3557106572,236024.226975911,219655.16320825,320678.619482193,324462.288451368,628595.160920577,415411.179795167,585636.194596846,585599.812421601,441964.929354569,716471.080887423,295982.776044605,269204.224125708,328829.640246536,305058.24724734,336685.355104629,242681.496112345,401422.816056853,505219.601009833,72739.9370187766,66248.449201459,107164.612507161,102525.087420128,296598.781853602,304062.727875722,300448.296718781,341001.389154183,456453.430689689,313853.189119811,467658.820020642,474690.748533189,76152.4427241451,102665.780888382,70913.5579420361,58119.2672381025,594065.001746848,589486.075672309,383208.853598269,378012.360408389,317158.14062307,360268.596594403,427058.523876744,292816.00879202,80980.4084425715,0,74217.2290202796,25490.9925978476,66535.5174321125,54150.4599170288,67392.402327391,38592.5742808826,33932.7874733159,107094.223419027,78865.7355364627,49234.1035903506,116402.002255821,252361.087963488,25594.2396868297,75935.956379724,543302.356186007,157322.809762387,67276.2035529049,142314.028595181,64307.874454779
508 EPMSC Caucasia,115068.557813436,161159.334872301,389688.344107235,397790.82248838,389232.852685802,385430.674338958,393568.498640257,397942.095919412,331463.062246855,324364.912177957,338235.39987674,395567.239670135,328208.853053226,313340.750739234,437355.428674611,425482.40129477,471839.396050132,456636.071864401,366732.061629429,408639.590344736,495646.883948715,443551.013118271,523447.371580085,464890.231079987,520752.749255957,508064.553017459,418949.389823265,771437.858082551,433083.308784458,425410.803567675,541939.223974812,520720.900775491,408493.967179602,417785.166052895,499775.780957987,875630.32904757,1468876.14840941,808414.537806803,798674.983269787,834423.031334842,737182.933678887,466996.937277314,781667.82705745,518064.988938857,465930.960687906,354280.871468087,354437.249720279,386365.259394416,386291.134588903,298714.705589785,386171.181675839,288909.432054505,205012.008893465,276177.402674646,271507.982091251,178379.530743691,307007.900827561,249946.822241386,247687.455512351,347449.926947549,353285.642589591,148235.704310623,422043.671676995,186664.082850551,149731.471759145,245046.512178243,253088.329320329,231241.802446698,274963.59592034,412733.337003146,390163.143477286,418929.2442229,355414.154344661,112637.13049433,106744.064944045,177165.852572293,346603.204153657,308562.369105317,282264.177628611,407841.370198084,316281.387447652,338136.852087318,352573.607280589,379009.327480896,332905.365670163,641704.113050238,622068.162351698,351759.452862534,573220.3075747,361960.857370863,300054.41941302,375857.018210756,365098.075913764,466796.82120702,458553.706548993,376583.565264243,176172.082546703,337169.131414724,336958.685620912,684629.464912541,467353.008097527,380314.932052514,292435.198747546,337366.173132115,379428.097825007,337792.397009388,304166.307158487,149260.639753737,267245.705666292,311368.059142829,262996.05948241,287723.779864615,325398.275438606,338607.011315831,332553.126632429,352046.033242773,355174.851308143,707544.051772974,562865.344058233,702990.473931666,710593.307669364,287570.886524858,325397.998677991,273796.19760067,288572.223960103,348078.037810152,343060.747192454,632909.141076817,627268.858329478,566975.893390122,608146.188162151,678579.826093973,542335.27357148,172068.864568868,252361.087963488,186407.109260022,267989.202568086,195304.892764621,205938.791210228,216998.917668939,262487.972764108,221811.51571857,150286.789388348,250895.102593723,236070.209970991,166830.893854472,0,250437.592805243,184673.851960894,295437.605415778,231581.978049751,191592.291466661,235264.199372569,193391.128746079
513 EPMSC Jerico,135642.380134593,242380.279504439,226222.685392683,230013.101123273,225762.928047042,226007.769237696,230553.097104855,230444.635089171,580576.771008045,573859.739880432,124672.570025735,168819.534463837,130299.900685311,108906.44804435,214660.355342052,207864.408776879,231474.10286384,233884.966091378,117081.823825603,160670.196862436,251374.639677058,193146.22952424,273116.279175903,214456.337199669,270477.917914114,257693.598595675,356817.715477357,521447.319006842,431194.681723587,373128.245645434,291524.359270766,270436.044071304,158056.724673021,168668.59061086,573604.294308435,992678.418932761,1282434.9229145,559082.542151875,560370.899191551,584828.764087207,486978.787845153,309974.892183773,531505.414419443,339298.691717662,296586.117090546,108534.168748179,108168.154704504,140925.474584277,140828.120349185,434697.716859135,141722.875433793,387533.136978934,380976.70079417,303891.68699206,292491.722319905,253828.918642735,352246.016977225,330175.163380109,327730.855335583,103866.254195266,107458.387545094,393622.520399119,216386.313651359,171104.372463406,392486.129045198,323959.501337809,320630.207537258,288198.958081701,235448.304768058,224736.820853367,261320.250967969,255091.604918202,243329.38905191,327158.399989694,250866.312095272,366093.96320723,585882.621644558,132007.445302948,127037.857430341,196631.601064594,139902.928025646,169343.536965019,214899.451093972,194604.641229272,224680.6032187,398191.584217472,375658.785760519,121373.102172032,335356.234479042,192422.833768295,97267.3753109942,211800.83741545,195526.017513781,297831.030768423,300855.987340927,626936.195347581,407776.839814252,586377.840672242,586263.966338023,437043.232230298,710436.956214384,270481.840387713,244528.24733367,303970.354376394,279489.942309195,311973.055913913,217299.275372093,399636.026237212,508843.803562924,62530.0669297417,41174.421270264,82755.3360467992,86336.089805247,271218.078467879,278895.716943639,274928.728483275,315914.189315092,457191.557254116,312516.809231254,459976.938210988,467219.273297034,54689.8134367214,86435.6953197153,47090.7400013658,42184.0163031412,587072.457123811,582659.615307488,382498.169015683,376915.200710185,316542.824080192,358106.218468845,428411.18064845,291914.59639474,84481.3085512992,25594.2396868297,65143.6106677733,18629.3404427848,56353.6220636617,44748.809951795,47395.1711564271,16376.68567173,30074.7232254481,100941.482305862,53318.3168964653,25984.404607508,101862.087370208,250437.592805243,0,66937.3273197234,544235.103776752,133345.465257742,59206.2316211191,117957.577715432,57137.0449510536
517 EPMSC Santa Barbara,121166.850198689,244695.162139216,212652.391885168,217282.026594435,212180.018520802,211770.124490648,217031.415273806,217677.034641228,567380.099630325,560387.517073863,118983.892108705,169275.006035734,120099.231602874,99270.9482810201,214504.34290372,205979.856312402,238492.948032116,234027.572282912,131311.181480185,172569.878162603,272838.17991405,209024.310681148,289969.757025665,230872.197200234,287522.266726623,273154.193143722,334922.699689319,535638.420903089,406821.283442035,350783.962178548,307907.39945142,287450.756137593,174677.660963491,181870.058305403,547794.684833865,1001648.73720902,1278461.17367757,576972.972178577,582468.69747452,602425.126425349,503777.479248208,297242.380238317,548343.922298025,330569.987104911,285581.88808292,118312.2569271,118408.232133788,150578.763688631,150499.112360457,409332.552654752,150638.602320504,361687.559166715,357445.426351039,278011.95270763,266638.825782251,228527.850394564,326346.630116399,304309.340222969,301872.038021289,111877.416006423,117302.738385926,381671.789575423,211311.830151989,145273.383378076,381219.154577058,298102.914015503,294686.903226363,262272.684903427,210449.38340605,215733.233266421,243786.938534133,242333.979116585,223475.235462782,319419.927787541,247007.396149853,343436.574045426,566476.860968481,116721.158546806,107372.678007757,192616.641309674,125093.218901476,154621.414833277,197147.27446937,183972.427484995,203907.60909674,407338.117163929,386474.651100633,146764.340712354,341724.426124405,178799.328200768,122589.734285597,197888.384279612,182022.782090088,286784.886271167,288066.463597145,611561.151548633,388129.091217621,573118.756034626,572936.697625659,448736.948376897,691556.657909378,251070.913852272,220043.242309614,279755.009052587,259321.758068369,287528.678236228,194478.066336704,384610.04722912,498368.484900533,76026.6697064235,31275.9421841026,70973.3666437052,90919.9779939397,248331.910485649,255322.948651001,252786.07118387,292135.472567867,473609.819023695,327766.159312038,468965.687684782,476397.537050027,53872.5610441797,90956.3358798614,41416.9987050718,52814.2813528134,567611.287604598,563322.422554197,397973.436467128,392097.619347376,332347.644498302,372480.524592084,445363.821760986,307616.558905851,80300.9138139711,49234.1035903506,50159.9590850429,42758.8541561037,41504.4733273307,33681.6710783685,22789.7393274761,28774.0537235947,32600.6815379936,85903.1847086671,33611.8640915204,0,79440.8222145568,236070.209970991,25984.4046075081,51803.4065592907,531217.86239278,108107.138791201,46229.5455604587,93097.6303849737,45547.1445667163
