Id,community,label
ACTOS SEXUALES CON MENOR DE CATORCE AÑOS,0,ACTOS SEXUALES CON MENOR DE CATORCE AÑOS
ACCESO CARNAL ABUSIVO CON MENOR DE CATORCE AÑOS,0,ACCESO CARNAL ABUSIVO CON MENOR DE CATORCE AÑOS
ALTERACION DESFIGURACION Y SUPLANTACION DE MARCAS DE GANADO,1,ALTERACION DESFIGURACION Y SUPLANTACION DE MARCAS DE GANADO
ABIGEATO,1,ABIGEATO
COHECHO PROPIO,2,COHECHO PROPIO
COHECHO IMPROPIO,2,COHECHO IMPROPIO
CONCUSION,3,CONCUSION
ABUSO DE FUNCION PUBLICA,3,ABUSO DE FUNCION PUBLICA
CONTAMINACION AMBIENTAL,4,CONTAMINACION AMBIENTAL
"APODERAMIENTO DE HIDROCARBUROS, SUS DERIVADOS, BIOCOMBUSTIBLES O MEZCLAS QUE LOS CONTENGAN",4,"APODERAMIENTO DE HIDROCARBUROS, SUS DERIVADOS, BIOCOMBUSTIBLES O MEZCLAS QUE LOS CONTENGAN"
DAÑOS EN LOS RECURSOS NATURALES,4,DAÑOS EN LOS RECURSOS NATURALES
CONTAMINACION AMBIENTAL CULPOSA POR EXPLOTACION DE YACIMIENTO MINERO O HIDROCARBURO,4,CONTAMINACION AMBIENTAL CULPOSA POR EXPLOTACION DE YACIMIENTO MINERO O HIDROCARBURO
CONTAMINACION AMBIENTAL POR EXPLOTACION DE YACIMIENTO MINERO O HIDROCARBURO,4,CONTAMINACION AMBIENTAL POR EXPLOTACION DE YACIMIENTO MINERO O HIDROCARBURO
DESPLAZAMIENTO FORZADO,5,DESPLAZAMIENTO FORZADO
CONCIERTO PARA DELINQUIR,5,CONCIERTO PARA DELINQUIR
DESTRUCCION SUPRESION Y OCULTAMIENTO DE DOCUMENTO PRIVADO,6,DESTRUCCION SUPRESION Y OCULTAMIENTO DE DOCUMENTO PRIVADO
DAÑO INFORMATICO,6,DAÑO INFORMATICO
EJERCICIO ILICITO DE ACTIVIDAD MONOPOLISTICA DE ARBITRIO RENTISTICO,7,EJERCICIO ILICITO DE ACTIVIDAD MONOPOLISTICA DE ARBITRIO RENTISTICO
CIRCULACION Y USO DE EFECTO OFICIAL O SELLO FALSIFICADO,7,CIRCULACION Y USO DE EFECTO OFICIAL O SELLO FALSIFICADO
EMPLEO O LANZAMIENTO DE SUSTANCIAS U OBJETOS PELIGROSOS,8,EMPLEO O LANZAMIENTO DE SUSTANCIAS U OBJETOS PELIGROSOS
CALUMNIA,8,CALUMNIA
ENAJENACIÓN ILEGAL DE MEDICAMENTOS,7,ENAJENACIÓN ILEGAL DE MEDICAMENTOS
CORRUPCION DE ALIMENTOS PRODUCTOS MEDICOS O MATERIAL PROFILACTICO,7,CORRUPCION DE ALIMENTOS PRODUCTOS MEDICOS O MATERIAL PROFILACTICO
ENRIQUECIMIENTO ILICITO,9,ENRIQUECIMIENTO ILICITO
CAPTACION MASIVA Y HABITUAL DE DINEROS,9,CAPTACION MASIVA Y HABITUAL DE DINEROS
ENRIQUECIMIENTO ILICITO DE PARTICULARES,9,ENRIQUECIMIENTO ILICITO DE PARTICULARES
ESTIMULO AL USO ILICITO,7,ESTIMULO AL USO ILICITO
EXPLOTACION ILICITA DE YACIMIENTO MINERO Y OTROS MATERIALES,4,EXPLOTACION ILICITA DE YACIMIENTO MINERO Y OTROS MATERIALES
"FABRICACIÓN, TRÁFICO Y PORTE DE ARMAS, MUNICIONES DE USO RESTRINGIDO, DE USO PRIVATIVO DE LAS FUERZAS ARMADAS O EXPLOSIVOS",10,"FABRICACIÓN, TRÁFICO Y PORTE DE ARMAS, MUNICIONES DE USO RESTRINGIDO, DE USO PRIVATIVO DE LAS FUERZAS ARMADAS O EXPLOSIVOS"
"FABRICACIÓN, TRµFICO Y PORTE DE ARMAS, MUNICIONES DE USO RESTRINGIDO, DE USO PRIVATIVO DE LAS FUERZAS ARMADAS O EXPLOSIVOS",10,"FABRICACIÓN, TRµFICO Y PORTE DE ARMAS, MUNICIONES DE USO RESTRINGIDO, DE USO PRIVATIVO DE LAS FUERZAS ARMADAS O EXPLOSIVOS"
"FABRICACIÓN, TRÁFICO, PORTE O TENENCIA DE ARMAS DE FUEGO, ACCESORIOS, PARTES O MUNICIONES",11,"FABRICACIÓN, TRÁFICO, PORTE O TENENCIA DE ARMAS DE FUEGO, ACCESORIOS, PARTES O MUNICIONES"
"FABRICACIÓN, TRµFICO, PORTE O TENENCIA DE ARMAS DE FUEGO, ACCESORIOS, PARTES O MUNICIONES",11,"FABRICACIÓN, TRµFICO, PORTE O TENENCIA DE ARMAS DE FUEGO, ACCESORIOS, PARTES O MUNICIONES"
FALSEDAD EN DOCUMENTO PRIVADO,1,FALSEDAD EN DOCUMENTO PRIVADO
ESTAFA,1,ESTAFA
FALSEDAD IDEOLOGICA EN DOCUMENTO PUBLICO,3,FALSEDAD IDEOLOGICA EN DOCUMENTO PUBLICO
CONTRATO SIN CUMPLIMIENTO DE REQUISITOS LEGALES,3,CONTRATO SIN CUMPLIMIENTO DE REQUISITOS LEGALES
FALSEDAD MATERIAL EN DOCUMENTO PUBLICO,1,FALSEDAD MATERIAL EN DOCUMENTO PUBLICO
FALSEDAD PERSONAL,1,FALSEDAD PERSONAL
FALSIFICACION DE EFECTO OFICIAL TIMBRADO,7,FALSIFICACION DE EFECTO OFICIAL TIMBRADO
FALSO TESTIMONIO,1,FALSO TESTIMONIO
EMPLEO ILEGAL DE LA FUERZA PUBLICA,1,EMPLEO ILEGAL DE LA FUERZA PUBLICA
FINANCIACIÓN DEL TERRORISMO Y DE ACTIVIDADES DE DELINCUENCIA ORGANIZADA Y ADMINISTRACIÓN DE RECURSOS CON ACTIVIDADES TERRORISTAS Y DE DELINCUENCIA ORGANIZADA,12,FINANCIACIÓN DEL TERRORISMO Y DE ACTIVIDADES DE DELINCUENCIA ORGANIZADA Y ADMINISTRACIÓN DE RECURSOS CON ACTIVIDADES TERRORISTAS Y DE DELINCUENCIA ORGANIZADA
ADMINISTRACION DE RECURSOS RELACIONADOS CON ACTIVIDADES TERRORISTAS,12,ADMINISTRACION DE RECURSOS RELACIONADOS CON ACTIVIDADES TERRORISTAS
FRAUDE A RESOLUCIÓN JUDICIAL O ADMINISTRATIVA DE POLICÖA.,13,FRAUDE A RESOLUCIÓN JUDICIAL O ADMINISTRATIVA DE POLICÖA.
FRAUDE A RESOLUCIÓN JUDICIAL O ADMINISTRATIVA DE POLICÍA.,13,FRAUDE A RESOLUCIÓN JUDICIAL O ADMINISTRATIVA DE POLICÍA.
FRAUDE PROCESAL,1,FRAUDE PROCESAL
GESTION INDEBIDA DE RECURSOS SOCIALES,1,GESTION INDEBIDA DE RECURSOS SOCIALES
HOMICIDIO,14,HOMICIDIO
FABRICACION TRAFICO Y PORTE DE ARMAS DE FUEGO O MUNICIONES,14,FABRICACION TRAFICO Y PORTE DE ARMAS DE FUEGO O MUNICIONES
HOMICIDIO EN PERSONA PROTEGIDA,15,HOMICIDIO EN PERSONA PROTEGIDA
DEPORTACION EXPULSION  TRASLADO O DESPLAZAMIENTO FORZADO DE POBLACION CIVIL,15,DEPORTACION EXPULSION  TRASLADO O DESPLAZAMIENTO FORZADO DE POBLACION CIVIL
DESAPARICION FORZADA,15,DESAPARICION FORZADA
DESTRUCCION Y APROPIACION DE BIENES PROTEGIDOS,15,DESTRUCCION Y APROPIACION DE BIENES PROTEGIDOS
HURTO POR MEDIOS INFORMATICOS SEMEJANTES,16,HURTO POR MEDIOS INFORMATICOS SEMEJANTES
ACCESO ABUSIVO A UN SISTEMA INFORMATICO,16,ACCESO ABUSIVO A UN SISTEMA INFORMATICO
ILICITA EXPLOTACION COMERCIAL,7,ILICITA EXPLOTACION COMERCIAL
ILÖCITA ACTIVIDAD DE PESCA,4,ILÖCITA ACTIVIDAD DE PESCA
